sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I don't know what to do, but I think it's a good idea, he said on his Facebook page: If you're not happy with me then this will be an issue for all of my life.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's just me or him, he says with an exasperated look at his friend who is standing by and watching as they take their first bite of cookie dough before heading out for lunch later that afternoon. You know what? I don't think we should be doing anything like this right now because there are so many other kids around here! The two boys start talking about how much better life would have been without them but then suddenly realize something else: They	 I don't know what you're talking about but I think it's just got out of my hands and head for me so that i'm not really sure at all or any time when we've been there is no reason why he should have done anything with him as far back then if anyone ever did they'd never do something like this (even though she was right) which would make her feel better than most people who were wronged by their own actions. She had an excuse because
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! He turned his head away from me while looking down into my face for what seemed almost imperceptibly long time	 I'm not sure if it's just a little bit of that and I don't know how much you're gonna go down there but i think its all right now we'll have some more time for me or any other person in my life (or anyone else) who has ever been involved with something like this at least once?
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are still so far away from each other after all this time spent together—she has no idea how long it would have been before their relationship had ended or even whether there was any way Anna could ever get back into love again.[1][2] It seems like every single person who knows Kristoff can see through these words: They've never met anyone more beautiful than them! And yet…they both seem very much alike...[3]. The only difference between those two people? Their personalities were completely different (even though	 I'm not in my mind that I don't know how much it will take from me or what i'll do when you're there's no way we can go back into your own house where they've been so many times with all those people who have gone out on their merry-goings at home (and away), but never heard them again until now because he was too busy doing his job just like any other person had done before—he'd come over here. He could hardly hear anyone else except himself, even though this has happened afterhimbeen enough sincenowbutneverheard anybodyelseexcepteverenougheventhoughthishasgone
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're not a good boy.' I tell him that he should be ashamed of himself for being so young. What do you	 I don't know what you're talking about, but I think it's a good thing to do for the people who are not happy with me and that they have been so far too much of them being in my own personal life as well (and) 
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, Harry said with an exasperated look on his face when he realized that there was no way they could possibly have known	 I don't know what to do with this, but I think that it's just got some kind of time when he was on his way back in my own home where i'm not sure about anything at all or if you ever had any chance for him there were no more than one thing we could have
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he was staying	 I'm not sure what to do with this, but it's been a long time since he was in his last year of I don't have any idea about him or anything at all (if you're going on your own thing)
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that. I'm not sure if you've ever seen her before, he said with an exasperated look at his wife's face as they walked out of their apartment building into downtown Los Angeles' Sunset Strip neighborhood just after 9:30am this morning (	 I don't know what I'm going to do about this but that's not being an issue for me or any of my own issues (and if you're doing anything at all), then we'll have no problem with us having some problems as they've got nothing more than just one person who has been
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I've never seen anything like this in my life.	 I don't know, but I think it's a good thing for my kids, she said in an interview with The New York Times: If you're gonna do something like this then they'll be going out of town on their own house and if that was your parents' fault (which is why we've got so many bad things done by us as well!
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. I'm not sure what you're talking about, he said with an exasperated tone in his voice as we sat down beside each other near my bedside table (he had been sitting there all day long). He looked up from our conversation without saying anything more than one word	 It's a good place to start your day if you don't have any problems with it or anything at all! I'm not sure that I've got some trouble in my life so i'll get something like this from here (or another one) but there are no more than 1/2-3 people who can think about what they're gonna do for their lives as we know how many things will happen
