sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know where they're going.	 I'm not sure what to do with them, she said, adding: I don't know where they're going.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He's been eating them since he was six years old. I don't know what you're talking about, she said with an exasperated look at her son who had just finished his first day of school when they were told that their teacher would not be coming back for another week or two because we have no idea how long it will take.	 He's been eating them since he was six years old. I don't know what you're talking about, she said with an exasperated look at her son who had just finished his first day of school when they were told that their teacher would not be coming back for another week or two because we have no idea how long it will take.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they looked at each other for some sort of response before turning back around and walking away from him again without even looking up into his own face like it had been something else entirely… I think we should just leave this	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they looked at each other for some sort of response before turning back around and walking away from him again without even looking up into his own face like it had been something else entirely… I think we should just leave this
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault that we've been here so long.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault that we've been here so long.
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her daughter with a smirk and an expression that suggests something has gone terribly awry in the world of this young woman who seems to have been raised by someone else for so long without even realizing	 I don't know what's going on, she says, looking at her daughter with a smirk and an expression that suggests something has gone terribly awry in the world of this young woman who seems to have been raised by someone else for so long without even realizing
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do about it, but if she's done this before then maybe we can get her out of here in time for dinner or something like that. I don't think so, he said with an exasperated look on his face as they sat down at their table together again	 I'm not sure what to do about it, but if she's done this before then maybe we can get her out of here in time for dinner or something like that. I don't think so, he said with an exasperated look on his face as they sat down at their table together again
She has left the tap running and the sink is overflowing.	 I'm not sure what to do with her, but it's a good thing that she doesn't have any of my money for food or anything else.	 I'm not sure what to do with her, but it's a good thing that she doesn't have any of my money for food or anything else.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say: I don't know what you're talking about. I'm not sure how many times that's been said by someone who has never seen anything like this before—or even heard of any such thing until now! But there are some things we can learn from	 She looks up at me as if to say: I don't know what you're talking about. I'm not sure how many times that's been said by someone who has never seen anything like this before—or even heard of any such thing until now! But there are some things we can learn from
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's because I'm too busy with my kids, she says, adding that there is a lot of other things going on in their lives and they're always looking for answers.	 I don't know if it's because I'm too busy with my kids, she says, adding that there is a lot of other things going on in their lives and they're always looking for answers.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's just me or whether they're trying to make a point about how much time we have left in our lives.	 I don't know if it's just me or whether they're trying to make a point about how much time we have left in our lives.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to be there every day, he told The Daily Caller News Foundation during an interview this week on The Rachel Maddow Show.	 It's not like you're going to be there every day, he told The Daily Caller News Foundation during an interview this week on The Rachel Maddow Show.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 It's not the first time that I've seen this kind of outfit in my life and it certainly doesn't look like what you'd expect from someone who has been through so much stress during their entire lives.	 It's not the first time that I've seen this kind of outfit in my life and it certainly doesn't look like what you'd expect from someone who has been through so much stress during their entire lives.
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on with his daughter.I don't know how she got to this point but I'm sure it was something that happened in her life, said the mother of two who did not want their name used for fear they would be labeled as anti-Semites by some Jewish community leaders after being called out during an event last week at Temple Beth Shmuel High School where	 He says he has no idea what's going on with his daughter.I don't know how she got to this point but I'm sure it was something that happened in her life, said the mother of two who did not want their name used for fear they would be labeled as anti-Semites by some Jewish community leaders after being called out during an event last week at Temple Beth Shmuel High School where
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to do with her, she says, adding that it's not like they're in the middle of an argument or anything. We've been talking about this for years but I think we all have our own personal opinions on how things should be handled	 I don't know what to do with her, she says, adding that it's not like they're in the middle of an argument or anything. We've been talking about this for years but I think we all have our own personal opinions on how things should be handled
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something new.	 It's a great place to go if you're looking for something new.
There are two cups on the draining board.	 The first one is a small piece of paper that you can use to hold your water bottle in place, but it's not very useful for this purpose and I don't know how many people have been using these as they're too hot or cold. 	 The first one is a small piece of paper that you can use to hold your water bottle in place, but it's not very useful for this purpose and I don't know how many people have been using these as they're too hot or cold. 
