sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says as we sit down at our table and watch him eat his first bite of chocolate chip cookie dough (he doesn't know what it's called). He looks like an old-timey kid who'd rather be playing video games than doing anything else but watching movies or reading books for hours every day—and I think that makes me feel good about how much better my life would have been if this guy had just left us alone with no one	 I'm so glad you're here, he says as we sit down at our table and watch him eat his first bite of chocolate chip cookie dough (he doesn't know what it's called). He looks like an old-timey kid who'd rather be playing video games than doing anything else but watching movies or reading books for hours every day—and I think that makes me feel good about how much better my life would have been if this guy had just left us alone with no one
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in his eyes and then looked up at him from behind her desk as they sat down for their first meal together last night (she'd been out of town this week). I think we're gonna need some help getting back into shape,	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in his eyes and then looked up at him from behind her desk as they sat down for their first meal together last night (she'd been out of town this week). I think we're gonna need some help getting back into shape,
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; it's not like there are any other people in this world who would ever think that they could have such power over their own body or mind—but I'm sure we can all get along just fine without them. You've got no idea how much time has passed since our last meeting? It was only two days ago when your mother told me my father had been shot dead by police after being caught smoking crack cocaine while driving home from work at around 8:30am yesterday morning...and now…we were both sitting here thinking 'what happened?' And then suddenly someone came running into town telling us something very disturbing... He pauses	 I don't know what you're talking about, he says with an exasperated look on his face; it's not like there are any other people in this world who would ever think that they could have such power over their own body or mind—but I'm sure we can all get along just fine without them. You've got no idea how much time has passed since our last meeting? It was only two days ago when your mother told me my father had been shot dead by police after being caught smoking crack cocaine while driving home from work at around 8:30am yesterday morning...and now…we were both sitting here thinking 'what happened?' And then suddenly someone came running into town telling us something very disturbing... He pauses
Meanwhile their mother is taking no notice.	 They have been told that they will not be allowed to leave the house, and are being held at gunpoint by a group of armed men who want them locked up in an unknown location for several days until police can find out what's going on. The	 They have been told that they will not be allowed to leave the house, and are being held at gunpoint by a group of armed men who want them locked up in an unknown location for several days until police can find out what's going on. The
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do with it, but if you can't get rid of this thing then maybe we should try something else. I'll be right back, she said as they walked away from her house in an attempt at getting some rest before heading out on their own for another day or two	 I'm not sure what to do with it, but if you can't get rid of this thing then maybe we should try something else. I'll be right back, she said as they walked away from her house in an attempt at getting some rest before heading out on their own for another day or two
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but we'll see what happens. I don't think so, she said with a smile on her face as they made their way back into his apartment in New York City's Upper East Side neighborhood where he lived for two years before	 I'm not sure how long it will take me to get out of here, but we'll see what happens. I don't think so, she said with a smile on her face as they made their way back into his apartment in New York City's Upper East Side neighborhood where he lived for two years before
There is a big puddle on the floor, and she’s standing in it.	 I'm not sure what to do, he said of his wife's reaction when they arrived at her home last week for an interview with The Associated Press. I don't know how you feel about that.	 I'm not sure what to do, he said of his wife's reaction when they arrived at her home last week for an interview with The Associated Press. I don't know how you feel about that.
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's just me, but I've never seen anything like this in my life, she says with a laugh as they walk away from their home and back into town on Monday morning (April 24). 	 I don't know if it's just me, but I've never seen anything like this in my life, she says with a laugh as they walk away from their home and back into town on Monday morning (April 24). 
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not, he says with an amused smile as we walk by.I've never seen anything like this before! What are you talking about? she asks incredulously from behind his desk; you're just saying that they have no clue what happened? It was all over their heads for some reason! They were so	 I don't know if it's a good idea to go in there at night or not, he says with an amused smile as we walk by.I've never seen anything like this before! What are you talking about? she asks incredulously from behind his desk; you're just saying that they have no clue what happened? It was all over their heads for some reason! They were so
