sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's just me or something else, he says with an air of confidence that makes him feel good about himself and his work ethic.He doesn't know how long I'll be out there doing this but we've been working together for over two years now!	 I'm not sure if it's just me or something else, he says with an air of confidence that makes him feel good about himself and his work ethic.He doesn't know how long I'll be out there doing this but we've been working together for over two years now!
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean by 'good enough'? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and looking up from his book again without saying anything more than I think we should all be doing this	 I don't know if that's a good idea or not. What do you mean by 'good enough'? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and looking up from his book again without saying anything more than I think we should all be doing this
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 She doesn't know what he's talking about but it sounds like something that could have been said by someone who has never seen his face before or even heard them speak at all. I'm not sure why you're saying this, Elsa says with an amused look on their faces; but I think we should get back together soon enough so they can see each other in person.Elsa? Anna asks hesitantly while looking around nervously ‪#‎WarmestOfAll[/caption]. The two girls are standing there staring blankly into space without any idea how much time had passed since our last conversation was over (they both seem very happy now). The only thing keeping us from laughing out loud were those words which	 She doesn't know what he's talking about but it sounds like something that could have been said by someone who has never seen his face before or even heard them speak at all. I'm not sure why you're saying this, Elsa says with an amused look on their faces; but I think we should get back together soon enough so they can see each other in person.Elsa? Anna asks hesitantly while looking around nervously ‪#‎WarmestOfAll[/caption]. The two girls are standing there staring blankly into space without any idea how much time had passed since our last conversation was over (they both seem very happy now). The only thing keeping us from laughing out loud were those words which
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, looking at her daughter in the eye as if to say: 'What are you talking about? You've got a problem with me.' I'm not sure why they're so upset. 	 I don't know what's going on here, she says, looking at her daughter in the eye as if to say: 'What are you talking about? You've got a problem with me.' I'm not sure why they're so upset. 
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, he said with an exasperated look on his face that made him feel like someone was going through some sort of mental	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, he said with an exasperated look on his face that made him feel like someone was going through some sort of mental
She has left the tap running and the sink is overflowing.	 I'm not sure what to do with it, but at least we have a good chance of finding out soon enough.	 I'm not sure what to do with it, but at least we have a good chance of finding out soon enough.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say: I'm sorry I didn't know you were there. And that's when we start talking about how much of an impact this has had upon our relationship with each other! We've been friends for over two years now—we're not even dating anymore;	 She looks up at me as if to say: I'm sorry I didn't know you were there. And that's when we start talking about how much of an impact this has had upon our relationship with each other! We've been friends for over two years now—we're not even dating anymore;
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's because I'm afraid of them, she says with a laugh, and then looks at me quizzically as we walk away from our hotel room in New York City on Wednesday night (April 14). 	 I don't know if it's because I'm afraid of them, she says with a laugh, and then looks at me quizzically as we walk away from our hotel room in New York City on Wednesday night (April 14). 
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right about that, she said with an amused smile; but we'll see what happens when he comes home from work tomorrow morning... She turned her head back towards me as though thinking something was off-putting for some reason - but my eyes were still locked onto his face	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right about that, she said with an amused smile; but we'll see what happens when he comes home from work tomorrow morning... She turned her head back towards me as though thinking something was off-putting for some reason - but my eyes were still locked onto his face
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation during an interview last week on The Late Show with Stephen Colbert.	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation during an interview last week on The Late Show with Stephen Colbert.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 She has no idea what's going on in the kitchen or where it all went wrong and doesn't even know if there are any other people who might have been affected by this event that day. I'm not sure I'll ever get over my feelings for you, he says with an air of certainty about his own self-preservation: You're just too good at your	 She has no idea what's going on in the kitchen or where it all went wrong and doesn't even know if there are any other people who might have been affected by this event that day. I'm not sure I'll ever get over my feelings for you, he says with an air of certainty about his own self-preservation: You're just too good at your
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house or where they're coming from.I don't know if I've ever seen anything like this before, she told ABC News' Good Morning America last week when asked about her experience of being sexually assaulted by two young men who had been friends with him for more than three years at an upscale New York nightclub called The Ritz-Carlton that was	 He says he has no idea what's going on in the house or where they're coming from.I don't know if I've ever seen anything like this before, she told ABC News' Good Morning America last week when asked about her experience of being sexually assaulted by two young men who had been friends with him for more than three years at an upscale New York nightclub called The Ritz-Carlton that was
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to say, she says, looking down at her hands in the air as if they've been touched by some kind of magic spell that will make them feel good about themselves.She's not sure how long it'll be before I can get my hair back on	 I don't know what to say, she says, looking down at her hands in the air as if they've been touched by some kind of magic spell that will make them feel good about themselves.She's not sure how long it'll be before I can get my hair back on
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something simple and fun.	 It's a great place to go if you're looking for something simple and fun.
