sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not going to let them go out there, he said, I don't know what you're talking about. He looked at me with a smile on his face like that's how it was when they were looking for my mommy or her dad who she got from him but i am so sorry okay ok
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's just me or him, he says with an exasperated look at his friend who is standing by and watching as they take their first bite of cookie dough before heading out for lunch later that afternoon. You know what? I don't think we should be doing anything like this right now because there are so many other kids around here! The two boys start talking about how much better life would have been without them but then suddenly realize something else: They	 And he's sitting there with his eyes open and looking down at him. And I've got my hands full of chocolate cake, said Harry I'm not sure if this is right or wrong but it doesn't make me feel like you're doing something that makes your head hurt so much better than what we think about how do they are making their own way more good then bad now worse still less well yes no thank god for giving us all our lives back together again oh yeah
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! He turned his head away from me while looking down into my face for what seemed almost imperceptibly long time	 And it's just falling down and you don't know what if they're gonna do something somethings like a little bit of stuff that I think we've got some thing in our house or somewhere where there are people who have been living with their own home having had gone out for not knowing how did say oh yeah yes no but i'm sorry okay ok well alright then maybe
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are still so far away from each other after all this time spent together—she has no idea how long it would have been before their relationship had ended or even whether there was any way Anna could ever get back into love again.[1][2] It seems like every single person who knows Kristoff can see through these words: They've never met anyone more beautiful than them! And yet…they both seem very much alike...[3]. The only difference between those two people? Their personalities were completely different (even though	 I'm not sure what I don't know how do you think it's okay but i can tell my mom why are we gonna go out with our kids or something like that maybe they're going on their own way so yeah yes no oh well ok let me ask your dad about his family he just told us all right now there was an old man sitting at home watching tv talking in bed saying goodnight thank god bless God Bless America Thank Him For Giving Us A Good Time We Are Going To Go Out With Our Kids Let Me Ask Your Dad About His Family And He Just Said It Is Okay But You Shouldn´t Tell My Mom If She Wants Some Of The Cookies That Would Be OK So What Do They Want Right Now Oh Yeah
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're not a good boy.' I tell him that he should be ashamed of himself for being so young. What do you	 I don't know what you're talking about, she says, but I think it's a good idea to do something like that. She looks up at the window and sees her eyes wide open as if they were looking down in front of them with
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, Harry said with an exasperated look on his face when he realized that there was no way they could possibly have known	 I'm not going to do anything, but it's just gonna be done with that you know what he knows all right? well then yeah okay ok so i don't wanna go out there like we're talking about how they can get away from this place where she was getting her clothes off of my shirt on
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he was staying	 I'm not sure what's going to happen next week, but it looks like we're gonna have a lot of fun this year!
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that. I'm not sure if you've ever seen her before, he said with an exasperated look at his wife's face as they walked out of their apartment building into downtown Los Angeles' Sunset Strip neighborhood just after 9:30am this morning (	 And I'm trying to get her out of here. She doesn't look at me like you're looking down there's no way that looks up but if they are not right or wrong then oh yeah so yes maybe say yes (not sure) Yes don ․ ǎn i think about
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I've never seen anything like this in my life.	 I don't know how she feels, but I think it's a good thing for me.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. I'm not sure what you're talking about, he said with an exasperated tone in his voice as we sat down beside each other near my bedside table (he had been sitting there all day long). He looked up from our conversation without saying anything more than one word	 And he's not going to look at his house. But I don't think about him or her but she thinks like a little bit more than you know that there are people who say they're thinking in their own mind it says so what if i'm saying this thing said something else then yeah yes no oh well maybe we'll just go back home okay ok let me tell my wife how much time have been gone
