sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, but it seems like a good idea.	 I'm not sure what to do with them, but it seems like a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says as we sit down and eat our first bite of cookie dough before heading out for dinner with his family at their new home next door.	 I'm so glad you're here, he says as we sit down and eat our first bite of cookie dough before heading out for dinner with his family at their new home next door.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not.	 I don't know if that's a good idea or not.
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks back at Elsa who has just returned from work that day (she was already home when they got there). She smiles shyly but then turns away again after saying something along those lines which makes Anna blush even more than usual: 'Oh my gosh! What are we doing here? Why would anyone do anything so stupid?' Her eyes go wide open while their lips curl around each others' shoulders tightly gripping hers together until both hands reach down between them without any hesitation or hesitancy…and pull out all three fingers too quickly...the whole thing	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks back at Elsa who has just returned from work that day (she was already home when they got there). She smiles shyly but then turns away again after saying something along those lines which makes Anna blush even more than usual: 'Oh my gosh! What are we doing here? Why would anyone do anything so stupid?' Her eyes go wide open while their lips curl around each others' shoulders tightly gripping hers together until both hands reach down between them without any hesitation or hesitancy…and pull out all three fingers too quickly...the whole thing
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, her voice rising to a high-pitched squeak of frustration as the two men stare at each other in silence for an hour or so before finally settling back down and saying something that makes them both	 I don't know what's going on here, she says, her voice rising to a high-pitched squeak of frustration as the two men stare at each other in silence for an hour or so before finally settling back down and saying something that makes them both
She’s been doing the washing up and is now drying a plate.	 I'm not sure how long it will take to get this done, but we'll see what happens next week.	 I'm not sure how long it will take to get this done, but we'll see what happens next week.
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take for her to get out of there, but if she does then we'll have a good look at what's going on here. I don't think so, he said with an exasperated smile that made me feel as though my heart was beating faster than ever before	 I'm not sure how long it will take for her to get out of there, but if she does then we'll have a good look at what's going on here. I don't think so, he said with an exasperated smile that made me feel as though my heart was beating faster than ever before
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that, he told The Associated Press last week when asked if there was any evidence of foul play at his home game against Texas A&M this past weekend.I'm not sure how many people are watching me right now because they have no idea who my mom works for	 I don't know what to do about that, he told The Associated Press last week when asked if there was any evidence of foul play at his home game against Texas A&M this past weekend.I'm not sure how many people are watching me right now because they have no idea who my mom works for
She seems not to have noticed either the water or what her children are doing.	 I don't know if she's aware of it, but I've never seen anything like this in my life.	 I don't know if she's aware of it, but I've never seen anything like this in my life.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if she's going to see me or not. What do you mean by that? he asked in a low voice as we walked away from his office at 9:30am last night (the day before Christmas). I've been thinking about it for quite some time now - what are your thoughts? Is there any chance they'll come up with something like this after all these	 I don't know if she's going to see me or not. What do you mean by that? he asked in a low voice as we walked away from his office at 9:30am last night (the day before Christmas). I've been thinking about it for quite some time now - what are your thoughts? Is there any chance they'll come up with something like this after all these
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find out what your neighbors are doing or where they live.	 It's not like you're going to find out what your neighbors are doing or where they live.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 Her hair has been pulled back into ponytail-length bangs in the past few weeks and it looks like there are no longer any strands left on them at this time of year. I don't know what you're talking about but I'm pretty sure that's not true, he says with an amused grin before adding: You've got your own little secret weapon for me	 Her hair has been pulled back into ponytail-length bangs in the past few weeks and it looks like there are no longer any strands left on them at this time of year. I don't know what you're talking about but I'm pretty sure that's not true, he says with an amused grin before adding: You've got your own little secret weapon for me
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says that he has no idea what's going on in the house or how to get out of there.I'm not sure if I should have done this, she tells The Daily Caller News Foundation (DNCF), but it was just too much for me because my wife had been so upset about her husband getting into trouble with his ex-wife when they were both living together at their parents' home [in	 He says that he has no idea what's going on in the house or how to get out of there.I'm not sure if I should have done this, she tells The Daily Caller News Foundation (DNCF), but it was just too much for me because my wife had been so upset about her husband getting into trouble with his ex-wife when they were both living together at their parents' home [in
Her daughter is wearing a short skirt and T-shirt.	 She says she's not sure what to make of the incident, but that her mother has been very supportive in dealing with this issue for some time now.	 She says she's not sure what to make of the incident, but that her mother has been very supportive in dealing with this issue for some time now.
There are lots of cupboards all around the kitchen.	 It's nice to have a place where you can hang out and play with your friends.	 It's nice to have a place where you can hang out and play with your friends.
There are two cups on the draining board.	 The first cup has a small hole in it that you can use to fill up with water, but I don't know if this is necessary or not (I've never seen one of these before). The second and most important thing for me would be	 The first cup has a small hole in it that you can use to fill up with water, but I don't know if this is necessary or not (I've never seen one of these before). The second and most important thing for me would be
