sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says with an air of pride and joy that I can't help but laugh out loud at how much fun it was for him! He's been doing this all day now since we last saw each other! You know what? This is my first time ever seeing someone else do something as good or better than me. She laughs again when she sees his face turn red before turning her head back towards us while still holding one hand over	 I'm so glad you're here, he says with an air of pride and joy that I can't help but laugh out loud at how much fun it was for him! He's been doing this all day now since we last saw each other! You know what? This is my first time ever seeing someone else do something as good or better than me. She laughs again when she sees his face turn red before turning her head back towards us while still holding one hand over
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes as they both looked at each other for some time before turning their heads and heading back out of there without even looking up from what had just happened (or maybe it was something else entirely). I think we should go get him	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes as they both looked at each other for some time before turning their heads and heading back out of there without even looking up from what had just happened (or maybe it was something else entirely). I think we should go get him
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face that makes me feel like I'm not really sure how much longer we can stay in this room together.	 I don't know what you're talking about, he says with an exasperated look on his face that makes me feel like I'm not really sure how much longer we can stay in this room together.
Meanwhile their mother is taking no notice.	 I'm not going to let her get away with this, she says, as if that's the only thing they can do about it.	 I'm not going to let her get away with this, she says, as if that's the only thing they can do about it.
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do about it, but if she's done this before then we'll be fine. I don't think so, he said with an amused look on his face as they sat down at their table in front of him for some more tea or something like that (he'd never	 I'm not sure what to do about it, but if she's done this before then we'll be fine. I don't think so, he said with an amused look on his face as they sat down at their table in front of him for some more tea or something like that (he'd never
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take to clean up this mess, but we'll see what happens next.	 I'm not sure how long it will take to clean up this mess, but we'll see what happens next.
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see each other again because there are so many things going through her mind at this point right now—she has no control over herself or anyone else who might come into contact with them	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see each other again because there are so many things going through her mind at this point right now—she has no control over herself or anyone else who might come into contact with them
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's a coincidence, but I've never seen anything like this in my life, she told The New York Times. This is something that has been going on for quite some time.	 I don't know if it's a coincidence, but I've never seen anything like this in my life, she told The New York Times. This is something that has been going on for quite some time.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right, she said with an amused smile that made me feel even better than when we had been together for almost two years! But what about your parents? They've never seen anything like this before!	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right, she said with an amused smile that made me feel even better than when we had been together for almost two years! But what about your parents? They've never seen anything like this before!
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find anything out there that would make it any different from what we've seen before.	 It's not like you're going to find anything out there that would make it any different from what we've seen before.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 Her hair has been pulled back in the last couple of weeks and it's not long enough for me so I can't tell you how many times we've had this happen on our wedding day! I'm sure there are other people who have done similar things with their weddings but they're all just too busy doing something else that makes them feel better about themselves (like getting married or having kids	 Her hair has been pulled back in the last couple of weeks and it's not long enough for me so I can't tell you how many times we've had this happen on our wedding day! I'm sure there are other people who have done similar things with their weddings but they're all just too busy doing something else that makes them feel better about themselves (like getting married or having kids
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 I'm not sure what's going on, he said of the incident that led to him being taken away from his home by police at around 11:30am local time (3pm GMT). He has been charged with assault causing grievous bodily harm after allegedly hitting an elderly woman who was walking her dog while she lay in hospital for several hours last week.The victim had suffered severe head injuries but no life-threatening	 I'm not sure what's going on, he said of the incident that led to him being taken away from his home by police at around 11:30am local time (3pm GMT). He has been charged with assault causing grievous bodily harm after allegedly hitting an elderly woman who was walking her dog while she lay in hospital for several hours last week.The victim had suffered severe head injuries but no life-threatening
Her daughter is wearing a short skirt and T-shirt.	 I don't know what she's going to do with it, but I'm sure we'll find out soon enough, he told The Daily Caller News Foundation in an interview last week.The only thing that makes me think about her being on the cover of Vanity Fair or any other magazine	 I don't know what she's going to do with it, but I'm sure we'll find out soon enough, he told The Daily Caller News Foundation in an interview last week.The only thing that makes me think about her being on the cover of Vanity Fair or any other magazine
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 The first cup is placed in front of me, and I place it over my head so that you can see what's going to happen next. I don't know how long this will last, she says with a smile as we sit back down	 The first cup is placed in front of me, and I place it over my head so that you can see what's going to happen next. I don't know how long this will last, she says with a smile as we sit back down
