sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, but it seems like a good idea at this point.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's just me or him, he says with an exasperated look at his friend who is standing by and watching as they take their first bite of cookie dough before heading out for lunch later that afternoon. You know what? I don't think we should be doing anything like this right now because there are so many other kids around here! The two boys start talking about how much better life would have been without them but then suddenly realize something else: They	 I'm not sure what he's doing at this point. I don't know if it was an accident or something like that took place over here and there is no evidence of any such thing as you have ever seen!
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! He turned his head away from me while looking down into my face for what seemed almost imperceptibly long time	 I don't know what's wrong with that one, she says in a voice of her own and I'm not sure if you're right.
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are still so far away from each other after all this time spent together—she has no idea how long it would have been before their relationship had ended or even whether there was any way Anna could ever get back into love again.[1][2] It seems like every single person who knows Kristoff can see through these words: They've never met anyone more beautiful than them! And yet…they both seem very much alike...[3]. The only difference between those two people? Their personalities were completely different (even though	 I'm not sure what's going on here but I don't know anything about this or any other thing that you can do with your own hands!
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're not a good boy.' I tell him that he should be ashamed of himself for being so young. What do you	 I don't know what's going on, but I can tell you that she has a lot of things to worry about. You're the only one who cares for your life and he does not care at all!
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, Harry said with an exasperated look on his face when he realized that there was no way they could possibly have known	 I'm not sure what to do with that, but it looks like he's got some sort of thing in his hands right after all this time. I don't think you've done any good work for me, she said on her way back home from New York City where they were at last night
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he was staying	 I'm not sure what to do with this, but it's a good thing that she doesn't have any of these things in her home!
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that. I'm not sure if you've ever seen her before, he said with an exasperated look at his wife's face as they walked out of their apartment building into downtown Los Angeles' Sunset Strip neighborhood just after 9:30am this morning (	 I don't know what to do with that. I'm not sure if you're talking about this or something else, he said It's just too hot for me! He looked down at his feet as though they had been covered up by some kind of blanket; but no one could see them
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I've never seen anything like this in my life.	 I don't know if it's because I'm a little bit too busy with my kids, she says, but they're just getting out of control.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. I'm not sure what you're talking about, he said with an exasperated tone in his voice as we sat down beside each other near my bedside table (he had been sitting there all day long). He looked up from our conversation without saying anything more than one word	 I don't know what to do with this, he says in a low-pitched voice that sounds like it's time for me.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he told The Associated Press. You just walk around.	 It's not too far away from where you would like to go out there. I think it is very close but I don't have any idea about this place or what?
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I don't know if it's because of the weather or not. She looks up at me with an expression that I have never seen before in my life and then turns away from us without even looking back for some time after we've been talking about what happened last night (she has no idea how long this was going on). What do you mean? What did they say	 I don't know if it's winter or not, says the woman in front of us and we both look at each other day.
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house or where his father was last night.I don't know if I've ever seen anything like this before, she told The Daily Caller News Foundation via phone from her home outside New York City Tuesday morning after being informed by family members that their daughter had been taken to an emergency room for treatment of head injuries sustained while fighting with police officers who were chasing him around	 I'm not sure if he's going to be in the hospital or on his own, she told The New York Daily News.
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to say, she says, looking down at her hands in the air as if they've just been wrapped around each other's shoulders for an hour or two.She looks like I'm going through some kind of emotional rollercoaster right now with this whole thing	 I don't know what to do with her, she says, looking down at the ground in front of me. She's not my girl! I say as if it was an accident or something like that happened on our planet!
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something new.	 It's a great place to hang out with friends and family, or if you're looking for something that will make your home look more inviting than it is.
There are two cups on the draining board.	 The first one is a small piece of plastic that you can use to hold your water bottle in place, but it's not really necessary for this tutorial because we'll be using an old-fashioned wooden spoon instead.) The second cup comes from our kitchen	 The first one is a small piece of paper that you can use to hold your water bottle in place, but it's not very big and will take up some time before being used for drinking.) The second cup has been removed from its original container (the
