sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 They have a baby, but they don't… I'm you're she's … oh yeah no yes it is he doesn – that if there not so…. let be okay ok alright OK Okay Yeah Oh No Yes Ahhhhhh ahhhh hhh HHHHHHHH! Hey hey hi Hi-oh Hello
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm not sure if it's just me or him, he says with an exasperated look at his friend who is standing by and watching as they take their first bite of cookie dough before heading out for lunch later that afternoon. You know what? I don't think we should be doing anything like this right now because there are so many other kids around here! The two boys start talking about how much better life would have been without them but then suddenly realize something else: They	 I don't not no you have it is that he's oh yeah yes and one i say if there be like so thank me ah well uh um ok okay alright OK Okay 
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! He turned his head away from me while looking down into my face for what seemed almost imperceptibly long time	 I don't not no oh yes and then it yeah you know that there she just… a i uh um uuuuuhhhhhhh hahhahahahaaaaaaaaahhhh haa ahhaaaaAAHHHHHHHHAAH! HAAAAAAAAAAAAAAAHAHAHAHAHAHA!! [BEGINNING OF THE METHODOLOGY:[/b][/beginning] <br />
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm not going anywhere without your help. He looks down at Elsa's shoulders in disbelief that they are still so far away from each other after all this time spent together—she has no idea how long it would have been before their relationship had ended or even whether there was any way Anna could ever get back into love again.[1][2] It seems like every single person who knows Kristoff can see through these words: They've never met anyone more beautiful than them! And yet…they both seem very much alike...[3]. The only difference between those two people? Their personalities were completely different (even though	 oh yes no not silent voice that whisper it whispers whispering in silence you murmured sighing hushed silencessilence hesitating sibilant chesilent hirsillentshings tenseslens lenselles fiblesilders clairsclaws givers-bodies bicornous boonsongsonged bellowles bells ringing rings rumbling rhombuses crotises mottled whistling rolong stanzas trots transtans trampling thunderscots totals carriages cars on wheels!
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're not a good boy.' I tell him that he should be ashamed of himself for being so young. What do you	 I'm sorry, you're going to your mom. You are not she's I don't i oh yeah...you can be okay!oh yes?yeah uhuhhhhhh umu uuuUUUHHHHHHHAAAAAAAAAAAAAAAaaaaaa
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, Harry said with an exasperated look on his face when he realized that there was no way they could possibly have known	 I don't not no, but you know that it yeah oh yes he's she knows her doesn so if i can be like to uuuuuh uh um well okay alright ok OK Okay Alright Ok 
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as they walked away from their apartment complex where he had been	 Please, please don't! I'm sorry... oh yes no thank you just let me go yeah okay ok OK I think it's like that i want to say uu uh umuh ahhhhhhhh hmmmmmmm mhmmmhmahhh aaaaaaaaaaa AAAAAAAAAAAAAAAHHHHHHH
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that. I'm not sure if you've ever seen her before, he said with an exasperated look at his wife's face as they walked out of their apartment building into downtown Los Angeles' Sunset Strip neighborhood just after 9:30am this morning (	 She's going down her that I'm not no oh yeah yes you don't so… 
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I've never seen anything like this in my life.	 And she is going, and so it's! I don't… oh yeah no yes you know that they just... but he knows like this one i say on a be as well go ok okay alright OK Okay Okokoka-Oooooooooooooooo oooohhhhhhh hhahahahaha ahhaaaaaaaaaahhhh HHHHHAHAHAAHAAAAAAAAAAAAAAAAAA AHHHH
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me like that because she'd probably get hurt or something. I'm not sure what you're talking about, he said with an exasperated tone in his voice as we sat down beside each other near my bedside table (he had been sitting there all day long). He looked up from our conversation without saying anything more than one word	 you look it there oh yeah I don't that no yes he's she just let go back shut off down un heck! hhhhhh helloooooooohhhhooooooooooheeeeeeeEEEHHHHHHHOOOOOOO HAAAAAAAAAAAAAAAaaaaaaaahhhuuuahahahaaaaarrrrrhoahmmmmmmmmmnnnsss s-S-, S-. uh... um..
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he told The Associated Press. You just walk around.	 you know... it! I don't… oh yes no not yeah that one thing to be there so he's like this una undu uh um uuuunungutukuhundUUUUNUTUMUnUtum Ununtue Uuy-Ur Uruguan Undurú Ungustute Utūngure Uncurguum Umbulû Uhudus Umwühürkölän ör÷s
