sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He's been sitting there for about an hour now and I'm not sure how long he'll be here. I don't know what you mean by that, she said as they sat down at her desk with their hands clasped tightly around each other; but it seems like we've got something very special happening between these two of us…and this is just one more reason why our friendship will never last forever! We're both so much better off together than apart! She	 He's been sitting there for about an hour now and I'm not sure how long he'll be here. I don't know what you mean by that, she said as they sat down at her desk with their hands clasped tightly around each other; but it seems like we've got something very special happening between these two of us…and this is just one more reason why our friendship will never last forever! We're both so much better off together than apart! She
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes and then looked up at him as though it were some kind of joke: I'm sorry for what happened last night but we're gonna get back together soon! We'll see each other again tomorrow!	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes and then looked up at him as though it were some kind of joke: I'm sorry for what happened last night but we're gonna get back together soon! We'll see each other again tomorrow!
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at me from behind my back so that we can all see each other without being seen by anyone else or even knowing how much time has passed since they last met (he was just getting started). His eyes are still wide open but their pupils dilate slightly when looking into our faces while staring straight ahead towards us through thick foggy clouds which have made them seem more distant than humanly possible: there were only two people who could possibly notice these things right now! The first person had already left after saying something stupid (You should go get your	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at me from behind my back so that we can all see each other without being seen by anyone else or even knowing how much time has passed since they last met (he was just getting started). His eyes are still wide open but their pupils dilate slightly when looking into our faces while staring straight ahead towards us through thick foggy clouds which have made them seem more distant than humanly possible: there were only two people who could possibly notice these things right now! The first person had already left after saying something stupid (You should go get your
Meanwhile their mother is taking no notice.	 They have been told that they will not be allowed to leave the house, and are being held at gunpoint by a group of armed men in plainclothes with guns drawn. I'm afraid I'll never see my daughter again, she said as her	 They have been told that they will not be allowed to leave the house, and are being held at gunpoint by a group of armed men in plainclothes with guns drawn. I'm afraid I'll never see my daughter again, she said as her
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!
She has left the tap running and the sink is overflowing.	 I'm not sure what to do with it, but we'll see how that plays out.	 I'm not sure what to do with it, but we'll see how that plays out.
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do with her. I'm not sure if you're right about that, he said after getting up from his chair as they walked out of their apartment building at around 9:30am this morning (the day before Christmas). It's just something we've been	 I don't know what to do with her. I'm not sure if you're right about that, he said after getting up from his chair as they walked out of their apartment building at around 9:30am this morning (the day before Christmas). It's just something we've been
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's because they're afraid of me, but I'm scared, she said in an interview with The New York Times last month when asked about being bullied at school for wearing a t-shirt that read 'F**k Trump' on its front cover and saying he would kill anyone who dared speak out against his racist views.	 I don't know if it's because they're afraid of me, but I'm scared, she said in an interview with The New York Times last month when asked about being bullied at school for wearing a t-shirt that read 'F**k Trump' on its front cover and saying he would kill anyone who dared speak out against his racist views.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right, she said with an amused smile that made me feel as though my heart was beating faster than any human being could ever hope for; but we'll see what happens next time! She turned her head away from his face before turning back towards him again when he looked up	 I don't know if it's a good idea to go in there at night or not. I'm sure you're right, she said with an amused smile that made me feel as though my heart was beating faster than any human being could ever hope for; but we'll see what happens next time! She turned her head away from his face before turning back towards him again when he looked up
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find it on your own.	 It's not like you're going to find it on your own.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I'm not sure if it's because of the weather or just that I don't feel comfortable in my own skin. She looks up at me with an amused expression and then turns away from us before we can say anything more about what has been going on inside our heads for quite some time now… What are you doing here? You've got no idea how many people have	 I'm not sure if it's because of the weather or just that I don't feel comfortable in my own skin. She looks up at me with an amused expression and then turns away from us before we can say anything more about what has been going on inside our heads for quite some time now… What are you doing here? You've got no idea how many people have
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house at this point but it looks like they're trying to get him out of there.	 He says he has no idea what's going on in the house at this point but it looks like they're trying to get him out of there.
Her daughter is wearing a short skirt and T-shirt.	 She says she has no idea what's going on, but that her mother was in the car with him when he went to pick up his sister from school last week.I don't know if I should have been there at all or not, said Kaitlyn after hearing about this story	 She says she has no idea what's going on, but that her mother was in the car with him when he went to pick up his sister from school last week.I don't know if I should have been there at all or not, said Kaitlyn after hearing about this story
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 The first one is placed in a small bowl, and then you can pour it into your coffee maker to make sure that there's enough water left for all of them! The second cup will be used as an ice cream scoop (you don't need	 The first one is placed in a small bowl, and then you can pour it into your coffee maker to make sure that there's enough water left for all of them! The second cup will be used as an ice cream scoop (you don't need
