sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says with an air of pride and joy that makes me feel like I've been there before. You know what? It's not my fault we didn't do anything about it at all! We were just too busy doing our own thing! He laughs as his eyes roll back into their sockets when they finally see him again after two days without seeing each other for more than ten minutes (which is how much time passes by now).	 I'm so glad you're here, he says with an air of pride and joy that makes me feel like I've been there before. You know what? It's not my fault we didn't do anything about it at all! We were just too busy doing our own thing! He laughs as his eyes roll back into their sockets when they finally see him again after two days without seeing each other for more than ten minutes (which is how much time passes by now).
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not but it looks like there might be some kind of problem with him falling down. What do you mean by 'problem'? she asked hesitantly as they both looked at each other in shock and confusion before turning their heads away from her face for an instant while looking back up into his eye-socket	 I don't know if that's a good idea or not but it looks like there might be some kind of problem with him falling down. What do you mean by 'problem'? she asked hesitantly as they both looked at each other in shock and confusion before turning their heads away from her face for an instant while looking back up into his eye-socket
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault.
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, her voice cracking with emotion as the two of them sit down at a table next to each other and stare into one another for an hour or so before finally deciding that they've got it all figured out	 I don't know what's going on here, she says, her voice cracking with emotion as the two of them sit down at a table next to each other and stare into one another for an hour or so before finally deciding that they've got it all figured out
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do with it, but if you don't mind me asking for your help then please let us know so we can get this thing out of our house ASAP!	 I'm not sure what to do with it, but if you don't mind me asking for your help then please let us know so we can get this thing out of our house ASAP!
She has left the tap running and the sink is overflowing.	 I'm not sure what to do next, but it seems like there's a good chance that she'll be back in town by this time of year or so.	 I'm not sure what to do next, but it seems like there's a good chance that she'll be back in town by this time of year or so.
There is a big puddle on the floor, and she’s standing in it.	 I'm not sure what's going to happen if we don't get her out of there. What do you mean by that? he asked with an exasperated look at his wife who had been sitting beside him for about ten minutes when they got back from their honeymoon last night? I	 I'm not sure what's going to happen if we don't get her out of there. What do you mean by that? he asked with an exasperated look at his wife who had been sitting beside him for about ten minutes when they got back from their honeymoon last night? I
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I think it's a good thing.	 I don't know, she says, but I think it's a good thing.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's just me or whether they're trying to make her feel better about what she has been through.	 I don't know if it's just me or whether they're trying to make her feel better about what she has been through.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find out what it is or even know if there are any other people who might be interested.	 It's not like you're going to find out what it is or even know if there are any other people who might be interested.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I don't know if it's the weather or not but I'm sure we'll see. Oh my God, says Harry with an air of calmness that makes him feel more comfortable in his own skin than he has ever felt before; and then they both look at each other for what feels like hours on end without even looking up from their respective bookshelfs again	 I don't know if it's the weather or not but I'm sure we'll see. Oh my God, says Harry with an air of calmness that makes him feel more comfortable in his own skin than he has ever felt before; and then they both look at each other for what feels like hours on end without even looking up from their respective bookshelfs again
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house or how to get out of it.I don't know if I'll ever see my dad again, she said with an exasperated look across her face as tears welled up from his eyesHe told me that when we were kids there was always someone who would come over for dinner every night because they'd never leave home without their parents' permission.	 He says he has no idea what's going on in the house or how to get out of it.I don't know if I'll ever see my dad again, she said with an exasperated look across her face as tears welled up from his eyesHe told me that when we were kids there was always someone who would come over for dinner every night because they'd never leave home without their parents' permission.
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to do with her, she says, adding that it's too early in the year for any sort of legal action against him or his family.	 I don't know what to do with her, she says, adding that it's too early in the year for any sort of legal action against him or his family.
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 The first cup has a small hole in it that you can use to fill up with water, but I don't know if this is actually necessary or just an added bonus for those who have been drinking too much of their own urine (I'm not sure).	 The first cup has a small hole in it that you can use to fill up with water, but I don't know if this is actually necessary or just an added bonus for those who have been drinking too much of their own urine (I'm not sure).
