sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says as they sit down at his table and watch him eat them. I don't know if it's true or not but we've been doing this for two years now! Oh my God! What is that? she asks with an exasperated look across her face like someone who had just gotten out of bed after having spent all day talking about how much better their lives were than theirs was? She looks around nervously before looking back	 I'm so glad you're here, he says as they sit down at his table and watch him eat them. I don't know if it's true or not but we've been doing this for two years now! Oh my God! What is that? she asks with an exasperated look across her face like someone who had just gotten out of bed after having spent all day talking about how much better their lives were than theirs was? She looks around nervously before looking back
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and sitting down again after some time had gone by without any of them noticing him coming out from under his seat just moments ago? 	 I don't know if that's a good idea or not. What do you mean? she asked with an annoyed look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and sitting down again after some time had gone by without any of them noticing him coming out from under his seat just moments ago? 
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at Anna who has just returned from work so that they can talk more freely but still have no idea where their conversation will take them next week or how much longer Elsa might stay here after all these years without being seen by any other family members (or even friends). She seems quite happy now because there are only two things left: getting back home again tomorrow morning when Kristoff comes out into town...and then having dinner tonight?	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at Anna who has just returned from work so that they can talk more freely but still have no idea where their conversation will take them next week or how much longer Elsa might stay here after all these years without being seen by any other family members (or even friends). She seems quite happy now because there are only two things left: getting back home again tomorrow morning when Kristoff comes out into town...and then having dinner tonight?
Meanwhile their mother is taking no notice.	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're a good boy.' I'm not sure how you feel about that. The next day they go out for dinner with friends and	 I don't know what's going on, she says, looking at her son in the eye as if to say: 'You're a good boy.' I'm not sure how you feel about that. The next day they go out for dinner with friends and
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better every day. I don't know what you're talking about, Harry said as he wiped his hands on her shoulder before turning back towards Hermione with an apologetic look that made him feel even more	 I'm not sure if it's just me or something else, but she seems to be getting better every day. I don't know what you're talking about, Harry said as he wiped his hands on her shoulder before turning back towards Hermione with an apologetic look that made him feel even more
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few days or so. I don't know what you're talking about, she said with an exasperated look on her face; but if there's one thing that can save us	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few days or so. I don't know what you're talking about, she said with an exasperated look on her face; but if there's one thing that can save us
There is a big puddle on the floor, and she’s standing in it.	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see her again because there are so many things going through my mind right now — but at least they're getting better!	 I don't know what to do about that, he said of his wife's condition.I'm not sure if we'll ever see her again because there are so many things going through my mind right now — but at least they're getting better!
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's because they're afraid of me, but I'm scared, she said in an interview with The New York Times last year after being arrested for allegedly stealing from a homeless man who had been sleeping on his back porch and then throwing him out when he got too drunk that night (he was later found dead). She has since filed charges against two other men: one is accused	 I don't know if it's because they're afraid of me, but I'm scared, she said in an interview with The New York Times last year after being arrested for allegedly stealing from a homeless man who had been sleeping on his back porch and then throwing him out when he got too drunk that night (he was later found dead). She has since filed charges against two other men: one is accused
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not because you'll get hit by lightning, she says with an exasperated look that makes me think about how many times we've heard her say things like this: I'm so sorry for your loss.	 I don't know if it's a good idea to go in there at night or not because you'll get hit by lightning, she says with an exasperated look that makes me think about how many times we've heard her say things like this: I'm so sorry for your loss.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find it on your own, he told The Daily Caller News Foundation last year.I don't know if I'll ever get over my fear that there will be people who think this is an isolated incident or something more serious than what we've seen so far with other incidents where someone has been arrested for trespassing while they were out walking their dog at night without being charged by law enforcement officers	 It's not like you're going to find it on your own, he told The Daily Caller News Foundation last year.I don't know if I'll ever get over my fear that there will be people who think this is an isolated incident or something more serious than what we've seen so far with other incidents where someone has been arrested for trespassing while they were out walking their dog at night without being charged by law enforcement officers
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I'm not sure if it's because of the weather or something else. She looks up at me with an expression that I have never seen on my face before and then turns away from us in surprise when we see each other again after some time has passed since our last meeting (we had been together for about two weeks). We are both very excited by this new relationship but also quite nervous	 I'm not sure if it's because of the weather or something else. She looks up at me with an expression that I have never seen on my face before and then turns away from us in surprise when we see each other again after some time has passed since our last meeting (we had been together for about two weeks). We are both very excited by this new relationship but also quite nervous
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house at this time but that his daughter was there when she went to pick up her father from school last week.I don't know if I should have done it or not because of my own feelings, said Mr D'Souza who had been working as an interpreter for several months before being told by police they would be charged with child endangerment under Section	 He says he has no idea what's going on in the house at this time but that his daughter was there when she went to pick up her father from school last week.I don't know if I should have done it or not because of my own feelings, said Mr D'Souza who had been working as an interpreter for several months before being told by police they would be charged with child endangerment under Section
