sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding that her son was very upset by his father's actions.I don't know if it is a good thing for him or whether he should have done something like this because they were doing nothing wrong at all.He has been very supportive of	 I'm not sure what to do with them, she said, adding that her son was very upset by his father's actions.I don't know if it is a good thing for him or whether he should have done something like this because they were doing nothing wrong at all.He has been very supportive of
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad I did it, he says with an air of pride and joy that makes him feel good about himself.	 I'm so glad I did it, he says with an air of pride and joy that makes him feel good about himself.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not but it looks like we're in for some serious trouble right now. What do you mean by'serious'? she asked with an exasperated look across her face and then back at him as his eyes went wide from where they had just been staring into their own dark recesses? I'm sorry	 I don't know if that's a good idea or not but it looks like we're in for some serious trouble right now. What do you mean by'serious'? she asked with an exasperated look across her face and then back at him as his eyes went wide from where they had just been staring into their own dark recesses? I'm sorry
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I'm not sure what you're talking about, he says with an exasperated look on his face.You don't know who I am? Elsa asks hesitantly while looking down at Anna's head in disbeliefOh my god! You've never seen me like this before! She looks away from Kristoff so that they can both see each other but it seems there are more than enough people around right now without them knowing how much time has passed since we last met.What? What happened?! Why did your mother say something bad?!Elsa wonders aloud when Olaf comes into their room after being interrupted by another voice:It was just…you were too busy watching us all go through our whole lives together…The two girls stare blankly	 I'm not sure what you're talking about, he says with an exasperated look on his face.You don't know who I am? Elsa asks hesitantly while looking down at Anna's head in disbeliefOh my god! You've never seen me like this before! She looks away from Kristoff so that they can both see each other but it seems there are more than enough people around right now without them knowing how much time has passed since we last met.What? What happened?! Why did your mother say something bad?!Elsa wonders aloud when Olaf comes into their room after being interrupted by another voice:It was just…you were too busy watching us all go through our whole lives together…The two girls stare blankly
Meanwhile their mother is taking no notice.	 I don't know what's going to happen, but I'll be back in a few days, she tells me as we walk out of the house and into her bedroom with my father sitting on his couch watching TV while he looks over at us from behind our parents	 I don't know what's going to happen, but I'll be back in a few days, she tells me as we walk out of the house and into her bedroom with my father sitting on his couch watching TV while he looks over at us from behind our parents
She’s been doing the washing up and is now drying a plate.	 I'm not sure what to do about it, but if you're in need of help please call us at 1-800‑822‐9000 or visit our Facebook page for more information on how we can assist with your needs!	 I'm not sure what to do about it, but if you're in need of help please call us at 1-800‑822‐9000 or visit our Facebook page for more information on how we can assist with your needs!
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as he looked up from his work-out before looking down	 I'm not sure how long it will take me to get out of here, but at least we'll be back in a few hours or so. I don't know what you're talking about, she said with an exasperated look on her face as he looked up from his work-out before looking down
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say: I don't know what you're talking about. I'm not sure how much longer we can wait for that moment of silence before our eyes will be filled with tears from all over her face like they've never seen one so many years ago—and then	 She looks up at me as if to say: I don't know what you're talking about. I'm not sure how much longer we can wait for that moment of silence before our eyes will be filled with tears from all over her face like they've never seen one so many years ago—and then
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's just me, but I've seen a lot of them, she said in an interview with The Associated Press on Monday night after being interviewed by ABC News' This Week.	 I don't know if it's just me, but I've seen a lot of them, she said in an interview with The Associated Press on Monday night after being interviewed by ABC News' This Week.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if he's going to see me or not. What do you mean by that? she asked in a low voice as though it were her own fault; I've been thinking about this for quite some time now—about how we can make things work better than they already are? And what does your father think will happen when his daughter comes home from school with no one else	 I don't know if he's going to see me or not. What do you mean by that? she asked in a low voice as though it were her own fault; I've been thinking about this for quite some time now—about how we can make things work better than they already are? And what does your father think will happen when his daughter comes home from school with no one else
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he said.I don't think I've ever seen anything so beautiful as it was when we were kids growing up!	 It's not like you have to go through all that stuff, he said.I don't think I've ever seen anything so beautiful as it was when we were kids growing up!
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 I'm not sure what's going on here, says the woman who has been in touch with me for some time now and I can't help but wonder if it was just an accident or something more sinister than anything else that had happened at this point. What are you talking about? asks one of my friends (who also lives next door) when we get back from our	 I'm not sure what's going on here, says the woman who has been in touch with me for some time now and I can't help but wonder if it was just an accident or something more sinister than anything else that had happened at this point. What are you talking about? asks one of my friends (who also lives next door) when we get back from our
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He has been taken to the hospital where he's being treated for injuries sustained in an attack that left him with severe burns on his face.	 He has been taken to the hospital where he's being treated for injuries sustained in an attack that left him with severe burns on his face.
Her daughter is wearing a short skirt and T-shirt.	 I don't know what she's going to do with it, but I'm sure we'll find out soon enough, he said in an interview last week at his home on the outskirts of New York City that was broadcast live by CNN affiliate WNYC (WCBS). 	 I don't know what she's going to do with it, but I'm sure we'll find out soon enough, he said in an interview last week at his home on the outskirts of New York City that was broadcast live by CNN affiliate WNYC (WCBS). 
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something simple, but not too fancy.	 It's a great place to go if you're looking for something simple, but not too fancy.
There are two cups on the draining board.	 The first one is a small cup that you can use to hold your food in place, but it's not really necessary for this recipe because I don't know how many people have used them and they're just too much of an inconvenience. The second	 The first one is a small cup that you can use to hold your food in place, but it's not really necessary for this recipe because I don't know how many people have used them and they're just too much of an inconvenience. The second
