sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with an abnormally small head (he is 5'4), but we both agree that there are two things going through my mind right now – what do they want? What does this mean for him? And then one last thing… You have no idea how much money these guys make, she said as	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with an abnormally small head (he is 5'4), but we both agree that there are two things going through my mind right now – what do they want? What does this mean for him? And then one last thing… You have no idea how much money these guys make, she said as
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean by 'good'? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and walking out of there without even looking up from his bookcase (which had been left behind). I	 I don't know if that's a good idea or not. What do you mean by 'good'? she asked with an exasperated look in her eyes as they both looked at each other for what seemed like hours before finally settling back into their seats and walking out of there without even looking up from his bookcase (which had been left behind). I
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 She doesn't know what he's talking about but it seems like they're going through something right now. I'm not sure I can tell you how many times we've been in this room together, Elsa said with an expression that made Anna blush even more than usual while looking over at them from behind their closed doors: It was just so much fun! We were always on our toes when things got really weird or awkward; my mom would call me 'Mommy' every time someone asked us questions (even though there are no such words anymore). My dad had his own special place where everyone could come see each other all day long—he'd give out free food whenever anyone came into town without asking permission! Her voice trailed off slightly	 She doesn't know what he's talking about but it seems like they're going through something right now. I'm not sure I can tell you how many times we've been in this room together, Elsa said with an expression that made Anna blush even more than usual while looking over at them from behind their closed doors: It was just so much fun! We were always on our toes when things got really weird or awkward; my mom would call me 'Mommy' every time someone asked us questions (even though there are no such words anymore). My dad had his own special place where everyone could come see each other all day long—he'd give out free food whenever anyone came into town without asking permission! Her voice trailed off slightly
Meanwhile their mother is taking no notice.	 I don't know what you're talking about, she says, but it's not like I'm going to be the only one who thinks that way.	 I don't know what you're talking about, she says, but it's not like I'm going to be the only one who thinks that way.
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!	 I'm not sure if it's just me or something else, but we're going to have some fun with this one!
She has left the tap running and the sink is overflowing.	 I have no idea what to do with her, but it seems like she's in a state of shock. I don't know why you're so upset about that, he said as they walked away from his apartment building on North Main Street near West 57th St., which was closed for more than an hour	 I have no idea what to do with her, but it seems like she's in a state of shock. I don't know why you're so upset about that, he said as they walked away from his apartment building on North Main Street near West 57th St., which was closed for more than an hour
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say I'm sorry, but I don't know what that means—it's not like we're talking about anything other than our own personal feelings of inadequacy or hopelessness (or lack thereof). We've been together for so long without ever having had an actual	 She looks up at me as if to say I'm sorry, but I don't know what that means—it's not like we're talking about anything other than our own personal feelings of inadequacy or hopelessness (or lack thereof). We've been together for so long without ever having had an actual
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's just me, but I've never seen anything like this in my life, she says with a laugh as we sit down for an hour of our time together at their new home on Long Island City Road near New York State University (NYSU). We're all so happy.	 I don't know if it's just me, but I've never seen anything like this in my life, she says with a laugh as we sit down for an hour of our time together at their new home on Long Island City Road near New York State University (NYSU). We're all so happy.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there at night or not. I think you're right about that, she said with an amused smile; but we'll see what happens when they get back from their trip tomorrow morning! She then turned her head towards me as though waiting for my answer before going off into something more interesting than just sitting around watching TV (which was	 I don't know if it's a good idea to go in there at night or not. I think you're right about that, she said with an amused smile; but we'll see what happens when they get back from their trip tomorrow morning! She then turned her head towards me as though waiting for my answer before going off into something more interesting than just sitting around watching TV (which was
