sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not going to let them go out there, he said, I don't know what you're talking about. He looked at me with a smile on his face like that's how it was when they were looking for my mommy or her dad who she got from him but i am so sorry okay ok	 I'm not going to let them go out there, he said, I don't know what you're talking about. He looked at me with a smile on his face like that's how it was when they were looking for my mommy or her dad who she got from him but i am so sorry okay ok
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 And he's sitting there with his eyes open and looking down at him. And I've got my hands full of chocolate cake, said Harry I'm not sure if this is right or wrong but it doesn't make me feel like you're doing something that makes your head hurt so much better than what we think about how do they are making their own way more good then bad now worse still less well yes no thank god for giving us all our lives back together again oh yeah	 And he's sitting there with his eyes open and looking down at him. And I've got my hands full of chocolate cake, said Harry I'm not sure if this is right or wrong but it doesn't make me feel like you're doing something that makes your head hurt so much better than what we think about how do they are making their own way more good then bad now worse still less well yes no thank god for giving us all our lives back together again oh yeah
The stool is about to fall over, so he’s probably going to fall on the floor.	 And it's just falling down and you don't know what if they're gonna do something somethings like a little bit of stuff that I think we've got some thing in our house or somewhere where there are people who have been living with their own home having had gone out for not knowing how did say oh yeah yes no but i'm sorry okay ok well alright then maybe	 And it's just falling down and you don't know what if they're gonna do something somethings like a little bit of stuff that I think we've got some thing in our house or somewhere where there are people who have been living with their own home having had gone out for not knowing how did say oh yeah yes no but i'm sorry okay ok well alright then maybe
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I'm not sure what I don't know how do you think it's okay but i can tell my mom why are we gonna go out with our kids or something like that maybe they're going on their own way so yeah yes no oh well ok let me ask your dad about his family he just told us all right now there was an old man sitting at home watching tv talking in bed saying goodnight thank god bless God Bless America Thank Him For Giving Us A Good Time We Are Going To Go Out With Our Kids Let Me Ask Your Dad About His Family And He Just Said It Is Okay But You Shouldn´t Tell My Mom If She Wants Some Of The Cookies That Would Be OK So What Do They Want Right Now Oh Yeah	 I'm not sure what I don't know how do you think it's okay but i can tell my mom why are we gonna go out with our kids or something like that maybe they're going on their own way so yeah yes no oh well ok let me ask your dad about his family he just told us all right now there was an old man sitting at home watching tv talking in bed saying goodnight thank god bless God Bless America Thank Him For Giving Us A Good Time We Are Going To Go Out With Our Kids Let Me Ask Your Dad About His Family And He Just Said It Is Okay But You Shouldn´t Tell My Mom If She Wants Some Of The Cookies That Would Be OK So What Do They Want Right Now Oh Yeah
Meanwhile their mother is taking no notice.	 I don't know what you're talking about, she says, but I think it's a good idea to do something like that. She looks up at the window and sees her eyes wide open as if they were looking down in front of them with	 I don't know what you're talking about, she says, but I think it's a good idea to do something like that. She looks up at the window and sees her eyes wide open as if they were looking down in front of them with
She’s been doing the washing up and is now drying a plate.	 I'm not going to do anything, but it's just gonna be done with that you know what he knows all right? well then yeah okay ok so i don't wanna go out there like we're talking about how they can get away from this place where she was getting her clothes off of my shirt on	 I'm not going to do anything, but it's just gonna be done with that you know what he knows all right? well then yeah okay ok so i don't wanna go out there like we're talking about how they can get away from this place where she was getting her clothes off of my shirt on
She has left the tap running and the sink is overflowing.	 I'm not sure what's going to happen next week, but it looks like we're gonna have a lot of fun this year!	 I'm not sure what's going to happen next week, but it looks like we're gonna have a lot of fun this year!
There is a big puddle on the floor, and she’s standing in it.	 And I'm trying to get her out of here. She doesn't look at me like you're looking down there's no way that looks up but if they are not right or wrong then oh yeah so yes maybe say yes (not sure) Yes don ․ ǎn i think about	 And I'm trying to get her out of here. She doesn't look at me like you're looking down there's no way that looks up but if they are not right or wrong then oh yeah so yes maybe say yes (not sure) Yes don ․ ǎn i think about
She seems not to have noticed either the water or what her children are doing.	 I don't know how she feels, but I think it's a good thing for me.	 I don't know how she feels, but I think it's a good thing for me.
She might be looking out of the window, which is open and looks out on the garden.	 And he's not going to look at his house. But I don't think about him or her but she thinks like a little bit more than you know that there are people who say they're thinking in their own mind it says so what if i'm saying this thing said something else then yeah yes no oh well maybe we'll just go back home okay ok let me tell my wife how much time have been gone	 And he's not going to look at his house. But I don't think about him or her but she thinks like a little bit more than you know that there are people who say they're thinking in their own mind it says so what if i'm saying this thing said something else then yeah yes no oh well maybe we'll just go back home okay ok let me tell my wife how much time have been gone
