sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't think it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't think it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He looks at me and says: 'I'm sorry I didn't know you were there.' And then he goes back down into his room. It's not like we're talking about any of that stuff, she adds with an amused smirk; we've all been here for so long without ever seeing each other again or even knowing what was going through my head when they first started dating last year - it just feels really good!	 He looks at me and says: 'I'm sorry I didn't know you were there.' And then he goes back down into his room. It's not like we're talking about any of that stuff, she adds with an amused smirk; we've all been here for so long without ever seeing each other again or even knowing what was going through my head when they first started dating last year - it just feels really good!
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes and then looked back up at him as though it were some kind of joke: I'm sorry for what happened last night! It was just too much fun! She turned away from his face but kept walking forward without looking	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes and then looked back up at him as though it were some kind of joke: I'm sorry for what happened last night! It was just too much fun! She turned away from his face but kept walking forward without looking
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at me from behind my back so that we can all see each other without being seen or heard by anyone else around us (he has no idea how many people there are who have had their eyes gouged out because they were too busy watching TV). It was only last week when things got even more awkward than usual after our first meeting—and then again just days ago during which everyone seemed genuinely upset over something happening between them but still kept saying 'no'. The whole thing started off innocently enough: A few minutes later someone came running into	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks down at me from behind my back so that we can all see each other without being seen or heard by anyone else around us (he has no idea how many people there are who have had their eyes gouged out because they were too busy watching TV). It was only last week when things got even more awkward than usual after our first meeting—and then again just days ago during which everyone seemed genuinely upset over something happening between them but still kept saying 'no'. The whole thing started off innocently enough: A few minutes later someone came running into
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, as if to say something about the fact that her daughter has been taken away from them by a man who knows nothing of his own sex life and does not understand how he can possibly have any control over	 I don't know what's going on here, she says, as if to say something about the fact that her daughter has been taken away from them by a man who knows nothing of his own sex life and does not understand how he can possibly have any control over
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, he said with an exasperated look on his face that made him sound like someone who has never done anything wrong before	 I'm not sure if it's just me or something else, but she seems to be getting better at her job as well. I don't know what you're talking about, he said with an exasperated look on his face that made him sound like someone who has never done anything wrong before
She has left the tap running and the sink is overflowing.	 I'm not sure what to do with her, but it's a good thing she doesn't have any friends in this town. I think you're right about that, he said as we sat down at his desk for another round of coffee before heading back out on our way home from work one last time after	 I'm not sure what to do with her, but it's a good thing she doesn't have any friends in this town. I think you're right about that, he said as we sat down at his desk for another round of coffee before heading back out on our way home from work one last time after
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say: I don't know what you're talking about. It's not like I'm saying anything that would make her feel any different from anyone else who has been here for years or even decades—it just seems so obvious! But there are some things we can	 She looks up at me as if to say: I don't know what you're talking about. It's not like I'm saying anything that would make her feel any different from anyone else who has been here for years or even decades—it just seems so obvious! But there are some things we can
She seems not to have noticed either the water or what her children are doing.	 She says she doesn't know how long it's been since they last saw each other, and that there is no sign of them ever having sex again.	 She says she doesn't know how long it's been since they last saw each other, and that there is no sign of them ever having sex again.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there alone or with someone else. I'm not sure what you're talking about, she said as we sat down at her kitchen table for an hour-long conversation that lasted less than five minutes—and was interrupted by another woman who asked: What are your favorite foods? The next day they were back together again but this time	 I don't know if it's a good idea to go in there alone or with someone else. I'm not sure what you're talking about, she said as we sat down at her kitchen table for an hour-long conversation that lasted less than five minutes—and was interrupted by another woman who asked: What are your favorite foods? The next day they were back together again but this time
