sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what they're doing there, but it seems like a good place for them to be.	 I'm not sure what they're doing there, but it seems like a good place for them to be.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with an eye-poppingly big nose.	 He looks at me and says: 'I don't know what you're talking about.' I'm not sure if it's because of his age or whether he was born with an eye-poppingly big nose.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they both looked at each other and then turned their heads back towards where it had been sitting for quite some time before collapsing into unconsciousness once more...	 I don't know if that's a good idea or not. What do you mean? she asked with an exasperated look in her eyes as they both looked at each other and then turned their heads back towards where it had been sitting for quite some time before collapsing into unconsciousness once more...
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks back down at Elsa who has just come out from under them both now that they are standing there together without their hands around each other or even close enough (she can barely see how far apart these two have gotten), but then again…it was only when Anna had said something so mean-spirited last time we were here—and yet—that things really started getting real… She stops herself while looking away once more...	 I don't know what you're talking about, he says with an exasperated look on his face; but it's not like I've ever been in this situation before. He looks back down at Elsa who has just come out from under them both now that they are standing there together without their hands around each other or even close enough (she can barely see how far apart these two have gotten), but then again…it was only when Anna had said something so mean-spirited last time we were here—and yet—that things really started getting real… She stops herself while looking away once more...
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, her voice cracking with emotion as if to say something about the fact that they've been living together for so long without ever seeing each other again and now it seems like things are getting a little out of	 I don't know what's going on here, she says, her voice cracking with emotion as if to say something about the fact that they've been living together for so long without ever seeing each other again and now it seems like things are getting a little out of
She’s been doing the washing up and is now drying a plate.	 I'm not sure if she's going to do it again, but we'll see what happens next time. I don't know how you feel about that, he said with an exasperated look on his face as they sat down at their table in front of each other for another minute or so	 I'm not sure if she's going to do it again, but we'll see what happens next time. I don't know how you feel about that, he said with an exasperated look on his face as they sat down at their table in front of each other for another minute or so
She has left the tap running and the sink is overflowing.	 I'm not sure how long it will take for her to get out of there, but if she does then we'll have a good look at what's going on here. I don't think so, he said with an exasperated tone that made me feel like my heart was beating faster than its usual pace	 I'm not sure how long it will take for her to get out of there, but if she does then we'll have a good look at what's going on here. I don't think so, he said with an exasperated tone that made me feel like my heart was beating faster than its usual pace
There is a big puddle on the floor, and she’s standing in it.	 I don't know what's going through her mind right now. I'm not sure if you've ever seen anything like that before, he said with an exasperated look to his wife who had been sitting there staring at him for quite some time without even looking up from where they were holding hands	 I don't know what's going through her mind right now. I'm not sure if you've ever seen anything like that before, he said with an exasperated look to his wife who had been sitting there staring at him for quite some time without even looking up from where they were holding hands
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's just me, but I've never seen anything like this in my life, she told The Huffington Post on Thursday night after being questioned by police for more than an hour and a half over allegations of sexual assault against two young women who had been with him since he was elected as mayor last year.	 I don't know if it's just me, but I've never seen anything like this in my life, she told The Huffington Post on Thursday night after being questioned by police for more than an hour and a half over allegations of sexual assault against two young women who had been with him since he was elected as mayor last year.
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea to go in there or not at all.	 I don't know if it's a good idea to go in there or not at all.
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff.	 It's not like you have to go through all that stuff.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 It's not the first time that I've seen this kind of outfit in my life and it certainly doesn't look like what you'd expect from someone who has been through so much during their teenage years (I'm sure there are many more). The skirt also looks great on me! The only problem with these dresses was they were too long for most people at all - which makes them	 It's not the first time that I've seen this kind of outfit in my life and it certainly doesn't look like what you'd expect from someone who has been through so much during their teenage years (I'm sure there are many more). The skirt also looks great on me! The only problem with these dresses was they were too long for most people at all - which makes them
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 I'm not sure what's going on, he said of the incident that led to him being taken away from his home by police officers at about 9:30 p...	 I'm not sure what's going on, he said of the incident that led to him being taken away from his home by police officers at about 9:30 p...
Her daughter is wearing a short skirt and T-shirt.	 I'm not going to tell you how much I love her, but she's my best friend, he told me in an interview at his home on the Upper West Side of New York City last month after being arrested for allegedly stealing $1 million from another man who had been charged with	 I'm not going to tell you how much I love her, but she's my best friend, he told me in an interview at his home on the Upper West Side of New York City last month after being arrested for allegedly stealing $1 million from another man who had been charged with
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 One of them has a hole in it that you can use to fill up with water, but I don't know if this is necessary or not.	 One of them has a hole in it that you can use to fill up with water, but I don't know if this is necessary or not.
