sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.	 I'm not sure what to do with them, she said, adding: I don't know if it's a good idea.
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 He looks at me and says: 'I'm sorry I didn't know you were there.' And then he goes back down with his arms around my neck as if it's an act of love for him.	 He looks at me and says: 'I'm sorry I didn't know you were there.' And then he goes back down with his arms around my neck as if it's an act of love for him.
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! ‪You've always been very nice! He shook his head no less than half-heartedly but nodded	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked up at him as though it were some kind of joke—she had never seen anything like this before! ‪You've always been very nice! He shook his head no less than half-heartedly but nodded
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 She doesn't know what's going on in his head at this point; it seems like he has no idea how much time they've spent talking about things that are not really important right now. What do you mean by 'important'? Elsa asked with an annoyed look from Anna who had just finished eating them all while staring into their eyes without even looking away or taking any action other than sitting back down before continuing: …I think I'm gonna go see my mom tomorrow morning…and then we'll have dinner together! The two girls were both laughing hysterically but there was something else happening behind those words which made me feel very uncomfortable because after so many years since our first meeting (the last few months being pretty short), everything seemed quite normal	 She doesn't know what's going on in his head at this point; it seems like he has no idea how much time they've spent talking about things that are not really important right now. What do you mean by 'important'? Elsa asked with an annoyed look from Anna who had just finished eating them all while staring into their eyes without even looking away or taking any action other than sitting back down before continuing: …I think I'm gonna go see my mom tomorrow morning…and then we'll have dinner together! The two girls were both laughing hysterically but there was something else happening behind those words which made me feel very uncomfortable because after so many years since our first meeting (the last few months being pretty short), everything seemed quite normal
Meanwhile their mother is taking no notice.	 I don't know what's going on here, she says, looking at her son in the eye as if to say something about him being a little bit of an idiot for not knowing that he was born into this world and had been raised by his parents. 	 I don't know what's going on here, she says, looking at her son in the eye as if to say something about him being a little bit of an idiot for not knowing that he was born into this world and had been raised by his parents. 
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting more comfortable with her new position as well. I don't know what you're talking about, Elsa said in an apologetic tone that made Anna blush even harder than usual when they were both staring at each other	 I'm not sure if it's just me or something else, but she seems to be getting more comfortable with her new position as well. I don't know what you're talking about, Elsa said in an apologetic tone that made Anna blush even harder than usual when they were both staring at each other
She has left the tap running and the sink is overflowing.	 I'm not sure what to do with her, but it seems like a good idea at this point in my life.	 I'm not sure what to do with her, but it seems like a good idea at this point in my life.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say ‪I don't know what you're talking about! I'm not even sure where this thing came from! ―Darth Sidious [src]	 She looks up at me as if to say ‪I don't know what you're talking about! I'm not even sure where this thing came from! ―Darth Sidious [src]
She seems not to have noticed either the water or what her children are doing.	 I don't know if it's because I'm afraid of them, she says, and then pauses for a moment before saying something that makes me think about how much more important this is than any other thing we've ever done in our lives—and why so many people feel like they're being ignored by their own family members who might be better off just getting on with life as usual. The	 I don't know if it's because I'm afraid of them, she says, and then pauses for a moment before saying something that makes me think about how much more important this is than any other thing we've ever done in our lives—and why so many people feel like they're being ignored by their own family members who might be better off just getting on with life as usual. The
She might be looking out of the window, which is open and looks out on the garden.	 I don't know if it's a good idea for her to look at me or not. I'm sure you're right about that, she said with an amused smile as we sat down in our own living room where they had just finished eating dinner together (we'd been sitting there all night). We were both quite surprised by how much fun this place was having us sit around their kitchen table while watching them	 I don't know if it's a good idea for her to look at me or not. I'm sure you're right about that, she said with an amused smile as we sat down in our own living room where they had just finished eating dinner together (we'd been sitting there all night). We were both quite surprised by how much fun this place was having us sit around their kitchen table while watching them
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation via email on Monday night.I don't think there is anything wrong with it because I've been here for over 20 years so my kids know what they're getting into when we come home from school every day.It was just an amazing experience seeing how much fun this place has become after being around people who are really good at their craftsmanship as well but also	 It's not like you have to go through all that stuff, he told The Daily Caller News Foundation via email on Monday night.I don't think there is anything wrong with it because I've been here for over 20 years so my kids know what they're getting into when we come home from school every day.It was just an amazing experience seeing how much fun this place has become after being around people who are really good at their craftsmanship as well but also
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 She looks at me with an expression that says I'm not sure what you're talking about. I look back and forth between the two of us for several seconds before we both turn away from each other's eyes in silence until they are completely silent again (or maybe even more so). You don't have any idea how much it hurts, my voice trails off into another deep	 She looks at me with an expression that says I'm not sure what you're talking about. I look back and forth between the two of us for several seconds before we both turn away from each other's eyes in silence until they are completely silent again (or maybe even more so). You don't have any idea how much it hurts, my voice trails off into another deep
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 He says he has no idea what's going on in the house or where they're coming from.	 He says he has no idea what's going on in the house or where they're coming from.
Her daughter is wearing a short skirt and T-shirt.	 I don't know what to say, she says, looking down at her hands in the air as if it's just another part of being an American woman who has been through so much. I'm not sure how you feel about that; we've all had our own experiences with women	 I don't know what to say, she says, looking down at her hands in the air as if it's just another part of being an American woman who has been through so much. I'm not sure how you feel about that; we've all had our own experiences with women
There are lots of cupboards all around the kitchen.	 It's a great place to go if you're looking for something that will keep your kids entertained and safe.	 It's a great place to go if you're looking for something that will keep your kids entertained and safe.
There are two cups on the draining board.	 The first one is used to drain a cup of water and then pour it back into your dishwasher, so that you don't get any more dirty dishes in there! I've been using this for about 2 weeks now (and I'm not sure	 The first one is used to drain a cup of water and then pour it back into your dishwasher, so that you don't get any more dirty dishes in there! I've been using this for about 2 weeks now (and I'm not sure
