sentence	control	dementia
There are two children and their mother in the kitchen.	 I'm not sure what to do with them, she said, adding that her son was very upset by his father's actions.I don't know if he is angry at me or my parents because they're both very nice people who have a lot of respect for each other but it seems like this whole situation	 I'm not sure what to do with them, she said, adding that her son was very upset by his father's actions.I don't know if he is angry at me or my parents because they're both very nice people who have a lot of respect for each other but it seems like this whole situation
The little boy has climbed up, on a three legged stool to get some cookies from the jar in the cupboard.	 I'm so glad you're here, he says as we sit down at his kitchen table and start talking about what's been happening for him since last year when I first met them two years ago (he is now 23). He tells me that they've had their fair share of bad experiences with people who don't understand how things can work like this: They have no idea why someone would do such an awful thing; or even if it was just because there are too many good reasons not	 I'm so glad you're here, he says as we sit down at his kitchen table and start talking about what's been happening for him since last year when I first met them two years ago (he is now 23). He tells me that they've had their fair share of bad experiences with people who don't understand how things can work like this: They have no idea why someone would do such an awful thing; or even if it was just because there are too many good reasons not
The stool is about to fall over, so he’s probably going to fall on the floor.	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked back up at him as though it were some kind of joke—she had never seen anything like this before! He was shaking his head no matter how many times they'd been interrupted by other people who seemed genuinely upset	 I don't know if that's a good idea or not. I think you're right, she said with an exasperated look in her eyes and then looked back up at him as though it were some kind of joke—she had never seen anything like this before! He was shaking his head no matter how many times they'd been interrupted by other people who seemed genuinely upset
His sister is holding up one hand as if she is waiting for him to pass her some of the cookies, and she’s holding a finger to her mouth as if to warn her brother to be quiet.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault that we've been here so long.	 I don't know what you're talking about, he says with an exasperated look on his face; but I'm sure it's not your fault that we've been here so long.
Meanwhile their mother is taking no notice.	 I don't know what's going to happen, she says, her voice cracking with emotion as the two of them sit in silence for a few minutes before finally speaking up and walking away from where they were sitting at about 10:30am on Saturday morning. 	 I don't know what's going to happen, she says, her voice cracking with emotion as the two of them sit in silence for a few minutes before finally speaking up and walking away from where they were sitting at about 10:30am on Saturday morning. 
She’s been doing the washing up and is now drying a plate.	 I'm not sure if it's just me or something else, but she seems to be getting better every day. I don't know what you're talking about, he said with an exasperated look on his face as they sat down at their table in front of each other for another half hour	 I'm not sure if it's just me or something else, but she seems to be getting better every day. I don't know what you're talking about, he said with an exasperated look on his face as they sat down at their table in front of each other for another half hour
She has left the tap running and the sink is overflowing.	 I have no idea what to do with her, but it seems like she will be back in a couple of weeks or so.	 I have no idea what to do with her, but it seems like she will be back in a couple of weeks or so.
There is a big puddle on the floor, and she’s standing in it.	 She looks up at me as if to say ‪I don't know what you're talking about! I've never seen anything like that before! You mean there's something wrong with your eyes? You can see them? he asks incredulously from behind his desk while holding out one of those	 She looks up at me as if to say ‪I don't know what you're talking about! I've never seen anything like that before! You mean there's something wrong with your eyes? You can see them? he asks incredulously from behind his desk while holding out one of those
She seems not to have noticed either the water or what her children are doing.	 I don't know, she says, but I think it's a good thing.	 I don't know, she says, but I think it's a good thing.
She might be looking out of the window, which is open and looks out on the garden.	 I'm not sure if it's a good idea to go in there at all because you can't see any trees or anything like that, he told me as we sat down for dinner one evening last year when his wife was still pregnant with their second child (he had just given birth). I've never been so excited about my own pregnancy. He said she'd always wanted her first baby—a boy named	 I'm not sure if it's a good idea to go in there at all because you can't see any trees or anything like that, he told me as we sat down for dinner one evening last year when his wife was still pregnant with their second child (he had just given birth). I've never been so excited about my own pregnancy. He said she'd always wanted her first baby—a boy named
You can see a path and another part of the house and the lawn, flowers, and a tree in the garden.	 It's not like you're going to find anything on your own.	 It's not like you're going to find anything on your own.
It seems to be summer, as she is wearing a short sleeved dress under her apron.	 Her hair has been pulled back in the ponytail and it looks like there are no longer any visible scars on either side of hers from being hit by an automobile or falling down stairs while riding along at high speed (she's not even sure if that was intentional). She also doesn't look very happy with herself for some reason: I'm so glad I got off my bike. 	 Her hair has been pulled back in the ponytail and it looks like there are no longer any visible scars on either side of hers from being hit by an automobile or falling down stairs while riding along at high speed (she's not even sure if that was intentional). She also doesn't look very happy with herself for some reason: I'm so glad I got off my bike. 
Her son is wearing shorts a shirt and shoes and socks, which are also falling down.	 I'm not sure what's going on, he says of the incident that led to him being taken away from his parents' home in New York City earlier this month by police officers who were looking for an armed man they believed was carrying explosives inside their apartment building.They took me into custody because I didn't have any weapons or anything else at my house so we had no idea if there would be another attack coming up	 I'm not sure what's going on, he says of the incident that led to him being taken away from his parents' home in New York City earlier this month by police officers who were looking for an armed man they believed was carrying explosives inside their apartment building.They took me into custody because I didn't have any weapons or anything else at my house so we had no idea if there would be another attack coming up
Her daughter is wearing a short skirt and T-shirt.	 She looks like she's trying to hide her face from the camera, but it doesn't help that there are no signs of any bruises or other injuries on either body part at this point in time.	 She looks like she's trying to hide her face from the camera, but it doesn't help that there are no signs of any bruises or other injuries on either body part at this point in time.
There are lots of cupboards all around the kitchen.	 It's a great place to hang out with friends and family.	 It's a great place to hang out with friends and family.
There are two cups on the draining board.	 The first one is a small piece of plastic that you can use to hold your water bottle in place, but it's not very big and doesn't have much room for any other items like food or anything else (I've never had this problem before). 	 The first one is a small piece of plastic that you can use to hold your water bottle in place, but it's not very big and doesn't have much room for any other items like food or anything else (I've never had this problem before). 
